# Written by the BoltzWann module of the Wannier90 code.
# [Electrical conductivity in SI units, i.e. in 1/Ohm/m]
# Mu(eV) Temp(K) ElCond_xx ElCond_xy ElCond_yy ElCond_xz ElCond_yz ElCond_zz
   9.281600000      0.1000000000      0.5641689305      0.2085687533E-04  0.9303369790E-01 -0.2246159798E-04  0.6552193343E-05  0.1148579788E-01
   9.281600000       50.10000000       2266224.575      -67.29173660       318731.3494      -68.55761361       27.95336323       39535.34690    
   9.281600000       100.1000000       2286503.045      -59.07240571       316337.5105      -61.41862113       28.69620730       39109.90797    
   9.281600000       150.1000000       2232131.710      -51.15112406       313735.3691      -60.11048066       29.26462550       38926.02595    
   9.281600000       200.1000000       2194334.053      -46.16425759       310976.6244      -62.71081325       30.71001452       38963.70305    
   9.281600000       250.1000000       2170816.692      -42.95027330       308491.3138      -65.88176294       32.35058822       39114.73366    
   9.281600000       300.1000000       2154043.176      -40.77553025       306492.4426      -68.00830041       33.73607939       39301.74382    
   9.781600000      0.1000000000      0.4403556053      0.1013745369E-03  0.1532596582      0.1598856425E-04  0.5601189161E-05  0.4248815537E-02
   9.781600000       50.10000000       1561578.163       72.75369241       581313.7450       52.33725672       29.41597126       14348.06619    
   9.781600000       100.1000000       1580572.243       29.29859719       588516.1239       48.15672908       36.09789197       13967.60395    
   9.781600000       150.1000000       1596505.037       26.49681922       588185.2795       45.97326176       36.92115108       13905.42776    
   9.781600000       200.1000000       1605263.682       26.50460335       587477.8892       44.89621396       36.23523617       13961.76699    
   9.781600000       250.1000000       1610253.317       26.63288560       586619.8860       43.94409557       35.34125774       14066.46529    
   9.781600000       300.1000000       1613990.341       26.76510265       585565.7622       42.81992830       34.52281169       14205.99709    
   10.28160000      0.1000000000      0.1183368102     -0.3190816043E-05  0.2760246432E-01  0.7181679715E-04  0.3024430284E-04  0.4049643772E-01
   10.28160000       50.10000000       417797.0511      -12.48886825       96671.15362       137.0628896       103.7568295       140509.8410    
   10.28160000       100.1000000       423652.9372      -13.66379964       104476.0050       123.8053553       109.6913483       139751.4710    
   10.28160000       150.1000000       433164.2180      -12.71369122       114242.2814       120.0551042       115.6334756       139383.7142    
   10.28160000       200.1000000       445293.8818      -13.04112704       124864.5942       120.1794790       119.9358632       139695.9782    
   10.28160000       250.1000000       459407.6598      -14.25092117       135655.2803       121.1443574       122.2821144       140489.3527    
   10.28160000       300.1000000       474851.9809      -15.70295473       146254.8438       121.1719252       123.0700246       141515.6364    
   10.78160000      0.1000000000      0.5548308042      0.3152832122E-04  0.1234832405      0.7082745032E-03  0.1611060982E-04  0.7145692496E-01
   10.78160000       50.10000000       1900251.576       286.0672659       425393.2945       2435.036919       67.87526459       248728.6256    
   10.78160000       100.1000000       1861175.123       262.1890540       426326.4232       2619.120046       76.10827742       249359.4038    
   10.78160000       150.1000000       1832627.642       233.0417701       427420.5030       2718.859643       64.92154046       249363.6448    
   10.78160000       200.1000000       1802560.053       208.3737152       427716.4745       2691.395936       44.63652108       248427.6765    
   10.78160000       250.1000000       1768918.970       188.5481787       427088.3217       2583.005313       23.86749958       246713.3551    
   10.78160000       300.1000000       1733128.196       172.7738090       425730.9269       2439.585599       6.229116899       244511.7040    
   11.28160000      0.1000000000      0.5143962313     -0.3768599701E-03  0.1296927141     -0.3354969668E-03  0.4331215702E-04  0.5926366536E-01
   11.28160000       50.10000000       1730024.674      -96.30486503       465588.1989      -1072.303763       147.1790327       203995.4660    
   11.28160000       100.1000000       1685316.095      -75.47891437       469248.5786      -1089.439499       138.0267879       203736.9834    
   11.28160000       150.1000000       1672766.896      -72.17510943       474351.2809      -1147.954857       129.4293758       205392.9514    
   11.28160000       200.1000000       1671491.740      -66.64100282       480733.6961      -1202.409100       122.2927758       207450.4641    
   11.28160000       250.1000000       1674428.258      -58.06544712       487407.2076      -1235.712573       116.5970787       209091.6646    
   11.28160000       300.1000000       1679064.141      -47.50414362       493697.0754      -1245.398774       111.5217936       210018.5403    
   5.78160000      0.100000001       1.31371677      -2.66161223E-04  0.220948309       8.20826099E-05  -4.45827891E-06   3.47010531E-02
   5.78160000       50.0999985       4450779.50      -237.955475       785652.000       330.394623       4.90279007       119069.602    
   5.78160000       100.099998       4344637.00      -183.352982       789004.625       346.410309       4.74615479       118305.547    
   5.78160000       150.100006       4320540.00      -172.234070       791033.625       354.210388       6.96636009       117513.039    
   5.78160000       200.100006       4314244.50      -167.562103       792588.312       357.667084       10.9840527       116735.031    
   5.78160000       250.100006       4310959.50      -165.086197       793816.688       359.109955       15.4738989       116009.031    
   5.78160000       300.100006       4309387.50      -163.267502       794913.938       359.247925       19.6704006       115395.281    
   6.28160000      0.100000001       1.12022221      -8.74197169E-04  0.421597719      -3.30276998E-05  -1.29232203E-05   1.13114389E-02
   6.28160000       50.0999985       3685164.50      0.751742065       1408945.88      -102.528214      -53.4430733       38803.5664    
   6.28160000       100.099998       3767172.00       67.4327698       1400189.62      -92.2312851      -54.8445587       38559.2656    
   6.28160000       150.100006       3861416.00       65.0595322       1393353.00      -86.0726929      -52.7751083       38582.3164    
   6.28160000       200.100006       3904157.00       61.3488426       1384527.50      -84.2402573      -50.4532700       38727.7852    
   6.28160000       250.100006       3920345.25       58.2691650       1373978.50      -84.8435211      -48.7146187       38962.0625    
   6.28160000       300.100006       3926349.75       55.6049919       1362238.50      -86.6239014      -47.6814384       39296.5664    
